session,symbol,p_open_up,called,realised,gap_pct,hit
2026-07-10,^BVSP,0.7324,up,up,0.011,True
2026-07-13,^BVSP,0.3553,down,up,0.001,False
2026-07-14,^BVSP,0.7543,up,up,0.002,True
2026-07-15,^BVSP,0.7975,up,up,0.012,True
2026-07-15,^N225,0.814,up,up,0.363,True
2026-07-16,^BVSP,0.4571,down,down,-0.001,True
2026-07-16,^FTSE,0.0073,down,down,-0.429,True
2026-07-16,^GSPTSE,0.3791,down,down,-0.143,True
2026-07-16,^IBEX,0.0144,down,up,0.267,False
2026-07-16,^KS11,0.1451,down,down,-4.447,True
2026-07-16,^N225,0.1688,down,down,-1.238,True
2026-07-17,000001.SS,0.3033,down,down,-0.44,True
2026-07-17,^AXJO,0.6089,up,down,-0.177,False
2026-07-17,^DJI,0.3066,down,down,-0.241,True
2026-07-17,^FCHI,0.0059,down,down,-0.61,True
2026-07-17,^FTSE,0.0018,down,down,-0.213,True
2026-07-17,^GDAXI,0.0021,down,down,-0.644,True
2026-07-17,^GSPC,0.1893,down,down,-1.145,True
2026-07-17,^GSPTSE,0.2765,down,down,-0.347,True
2026-07-17,^HSI,0.3607,down,up,0.056,False
2026-07-17,^IBEX,0.0051,down,down,-0.702,True
2026-07-17,^IXIC,0.2043,down,down,-1.815,True
2026-07-17,^N225,0.6633,up,down,-0.742,False
2026-07-17,^NSEI,0.5513,up,up,0.228,True
2026-07-17,^SSMI,0.0119,down,up,0.134,False
2026-07-17,^STOXX50E,0.0045,down,down,-0.202,True
2026-07-20,000001.SS,0.4161,down,up,0.731,False
2026-07-20,^AXJO,0.7269,up,up,0.471,True
2026-07-20,^DJI,0.2686,down,up,0.016,False
2026-07-20,^FCHI,0.0087,down,down,-0.269,True
2026-07-20,^FTSE,0.0032,down,down,-0.503,True
2026-07-20,^GDAXI,0.0083,down,down,-0.249,True
2026-07-20,^GSPC,0.2125,down,up,0.422,False
2026-07-20,^GSPTSE,0.4835,down,up,0.047,False
2026-07-20,^HSI,0.5867,up,up,1.111,True
2026-07-20,^IBEX,0.0063,down,down,-0.354,True
2026-07-20,^IXIC,0.2685,down,up,0.786,False
2026-07-20,^KS11,0.8646,up,down,-2.595,False
2026-07-20,^NSEI,0.5585,up,down,-0.593,False
2026-07-20,^SSMI,0.0314,down,down,-0.662,True
2026-07-20,^STOXX50E,0.0077,down,down,-0.109,True
2026-07-21,000001.SS,0.54,up,up,0.418,True
2026-07-21,^AXJO,0.7752,up,down,-0.357,False
2026-07-21,^BVSP,0.7605,up,up,0.001,True
2026-07-21,^DJI,0.7268,up,up,0.15,True
2026-07-21,^FCHI,0.9643,up,up,0.104,True
2026-07-21,^FTSE,0.945,up,down,-0.234,False
2026-07-21,^GDAXI,0.9717,up,up,0.304,True
2026-07-21,^GSPC,0.8461,up,up,0.627,True
2026-07-21,^GSPTSE,0.7675,up,up,0.304,True
2026-07-21,^HSI,0.5826,up,up,0.03,True
2026-07-21,^IBEX,0.9738,up,up,0.216,True
2026-07-21,^IXIC,0.8799,up,up,1.037,True
2026-07-21,^KS11,0.9674,up,up,0.577,True
2026-07-21,^N225,0.9665,up,up,0.628,True
2026-07-21,^NSEI,0.8317,up,down,-0.093,False
2026-07-21,^SSMI,0.9024,up,down,-0.34,False
2026-07-21,^STOXX50E,0.97,up,up,0.043,True
2026-07-22,000001.SS,0.5223,up,down,-0.639,False
2026-07-22,^AXJO,0.9098,up,up,0.204,True
2026-07-22,^BVSP,0.4663,down,up,0.003,False
2026-07-22,^DJI,0.3236,down,up,0.12,False
2026-07-22,^FCHI,0.3369,down,down,-0.096,True
2026-07-22,^FTSE,0.1921,down,down,-0.019,True
2026-07-22,^GDAXI,0.3819,down,down,-0.04,True
2026-07-22,^GSPC,0.3388,down,down,-0.156,True
2026-07-22,^GSPTSE,0.3581,down,up,0.143,False
2026-07-22,^HSI,0.7526,up,down,-0.61,False
